Type,ServedBy,Ip,Host,DRAC_IP
Video Server,BAY-E,10.9.211.29,vls1.BRMC.gwn,10.9.211.49
RAS,SMMC,10.9.230.14,ras1.SMMC.gwn,10.9.230.44
Video Server,LAV,10.8.76.29,vls1.LAV.gwn,10.8.76.49
Video Server,RAYV,10.8.120.29,vls1.RAYV.gwn,10.8.120.49
Test Application Server,TGEN,10.224.0.20,apptest.TGEN.gwn,10.224.0.41
Video Server,PHOV,10.8.108.29,vls1.PHOV.gwn,10.8.108.49
Video Server,KGAR,10.238.1.199,vls1.KGAR.gwn,10.238.1.198
Video Server,DUP,10.5.12.28,vls2.DUP.gwn,10.5.12.48
Video Server,MON,10.5.172.29,vls1.MON.gwn,10.5.172.49
Video Server,NAC,10.7.16.26,vls4.NAC.gwn,10.7.16.46
Video Server,CMG,10.9.136.29,vls1.CMG.gwn,10.9.136.49
RAS,STXV,10.8.148.15,ras2.STXV.gwn,10.8.148.45
Video Server,CIN,10.7.200.29,vls1.CIN.gwn,10.7.200.49
Video Server,TSPM,10.9.110.29,vls1.TSIR.gwn,10.9.110.49
RAS,TXWO,10.7.112.15,ras2.TXWO.gwn,10.7.112.45
RAS,KPSC-E,172.22.183.25,ras2.KPSC-E.gwn,172.22.183.28
Video Server,CMC-E,10.7.164.29,vls1.CFE.gwn,10.7.164.49
Video Server,DCH,10.5.242.28,vls2.DCH.gwn,10.5.242.48
Video Server,UMI,10.7.64.29,vls1.UMI.gwn,10.7.64.49
Video Server,BPV,10.8.36.29,vls1.BPV.gwn,10.8.36.49
Video Server,NAC,10.7.16.28,vls2.NAC.gwn,10.7.16.48
Video Server,WELL-E,10.9.82.29,vls1.WELP.gwn,10.9.82.49
Application Server,PIUV,10.8.48.10,appserver.PIUV.gwn,10.8.48.40
Application Server,HFB,10.5.112.10,appserver.HFB.gwn,10.5.112.40
Video Server,DSJ,10.9.104.29,vls1.DSJW.gwn,10.9.104.49
Video Server,VIR-E,10.7.172.29,vls1.VVW.gwn,10.7.172.49
RAS,KPSCTEST,172.20.58.179,ras2.KPSCTEST.gwn,172.20.82.136
RAS,FTBV,10.7.100.14,ras1.FTBV.gwn,10.7.100.44
Application Server,CSP,10.7.140.10,appserver.CSP.gwn,10.7.140.40
RAS,NTXV,10.8.156.14,ras1.NTXV.gwn,10.8.156.44
RAS,UCM,165.68.88.21,ras1.UCM.gwn,165.68.88.35
Video Server,BAY-E,10.9.68.28,vls2.BJW.gwn,10.9.68.48
Video Server,JMO,10.5.176.27,vls3.JMO.gwn,10.5.176.47
Video Server,JMO,10.5.176.26,vls4.JMO.gwn,10.5.176.46
Video Server,UMC,10.7.28.29,vls1.UMC.gwn,10.7.28.49
RAS,SPG,10.7.228.15,ras2.SPG.gwn,10.7.228.45
Video Server,WPBV,10.8.16.29,vls1.WPBV.gwn,10.8.16.49
Video Server,UMI,10.7.64.28,vls2.UMI.gwn,10.7.64.48
Video Server,TXWO,10.7.112.29,vls1.TXWO.gwn,10.7.112.49
Application Server,WPBV,10.8.16.10,appserver.WPBV.gwn,10.8.16.40
Video Server,BAY-E,10.9.68.29,vls1.BJW.gwn,10.9.68.49
Video Server,SFV,10.8.44.29,vls1.SFV.gwn,10.8.44.49
Video Server,CME,10.242.200.27,vls3.CME.gwn,10.242.200.77
Video Server,OLA,10.7.0.26,vls4.OLA.gwn,10.7.0.46
Video Server,TGS,10.7.148.29,vls1.TGS.gwn,10.7.148.49
Video Server,KPSC-E,10.204.135.10,vls1.KBP.gwn,10.204.135.11
Test Application Server,SPC,10.9.132.20,apptest.SPC.gwn,10.9.132.41
Video Server,SELZ-E,10.9.164.28,vls2.SELE.gwn,10.9.164.48
RAS,BAY-E,10.9.251.15,ras2.BAY-E.gwn,10.9.251.45
Video Server,UMI,10.7.64.27,vls3.UMI.gwn,10.7.64.47
Video Server,CMC-E,10.7.164.27,vls3.CFE.gwn,10.7.164.47
Video Server,SEA,10.7.192.28,vls2.SEA.gwn,10.7.192.48
Application Server,WWR,10.5.40.10,appserver.WWR.gwn,10.5.40.40
Test Application Server,TJU,10.5.48.20,apptest.TJU.gwn,10.5.48.41
Video Server,SPC,10.9.132.29,vls1.SPC.gwn,10.9.132.49
Video Server,CMG,10.9.136.28,vls2.CMG.gwn,10.9.136.48
Video Server,DSJ,10.7.180.28,vls2.DSJ.gwn,10.7.180.48
Video Server,CAR-E,10.9.24.28,vls2.CRCL.gwn,10.9.24.48
Video Server,TSPM,10.9.124.29,vls1.TSPM.gwn,10.9.124.49
Video Server,LCV,10.8.24.28,vls2.LCV.gwn,10.8.24.48
Video Server,USC,10.5.96.26,vls4.USC.gwn,10.5.96.46
Test Application Server,UCM,165.68.88.30,apptest.UCM.gwn,165.68.88.40
Video Server,RAYV,10.8.120.28,vls2.RAYV.gwn,10.8.120.48
RAS,GLM,10.7.176.14,ras1.GLM.gwn,10.7.176.44
Video Server,TGS,10.7.152.29,vls1.TBN.gwn,10.7.152.49
RAS,CHC,10.5.144.15,ras2.CHC.gwn,10.5.144.45
Video Server,HAS,10.5.80.29,vls1.HAS.gwn,10.5.80.49
Video Server,DSJ,10.7.180.27,vls3.DSJ.gwn,10.7.180.47
Video Server,CHA,10.7.8.28,vls2.CHA.gwn,10.7.8.48
Video Server,BAY-E,10.9.60.28,vls2.SFB.gwn,10.9.60.48
RAS,TSPM,10.9.124.14,ras1.TSPM.gwn,10.9.124.44
Video Server,KPNC-E,10.182.76.134,vls3.KSLE.gwn,10.182.76.198
Video Server,TSPM,10.9.109.29,vls1.TSPE.gwn,10.9.109.49
Video Server,CIN,10.7.59.28,vls2.CIL.gwn,10.7.59.48
JANA,NOR,10.7.184.85,jana.NOR.gwn,10.7.184.47
RAS,SPM,10.7.20.15,ras2.SPM.gwn,10.7.20.45
Video Server,BAY-E,10.7.204.28,vls2.BJN.gwn,10.7.204.48
Application Server,EXSJ,10.9.100.10,appserver.EXSJ.gwn,10.9.100.40
Video Server,TGEN,10.224.0.28,vls2.TGEN.gwn,10.224.0.48
RAS,VIR-E,10.5.0.15,ras2.VIR-E.gwn,10.5.0.45
Video Server,TJU,10.5.48.26,vls4.TJU.gwn,10.5.48.46
Application Server,LAV,10.8.76.10,appserver.LAV.gwn,10.8.76.40
Video Server,BAY-E,10.7.204.29,vls1.BJN.gwn,10.7.204.49
Video Server,KOC,10.7.104.29,vls1.KOC.gwn,10.7.104.49
Video Server,LEBV,10.8.104.29,vls1.LEBV.gwn,10.8.104.49
Video Server,NSB,10.7.196.29,vls1.NSB.gwn,10.7.196.49
Video Server,VAP,10.131.26.29,vls1.VAP.gwn,10.131.26.49
Test Application Server,NOR,10.7.184.20,apptest.NOR.gwn,10.7.184.41
Video Server,IAC,10.7.236.29,vls1.IAC.gwn,10.7.236.49
Video Server,KERV,10.8.144.29,vls1.KERV.gwn,10.8.144.49
Video Server,BAY-E,10.9.44.28,vls2.MPN.gwn,10.9.44.48
Video Server,CHC,10.5.240.29,vls1.CWM.gwn,10.5.240.49
Video Server,GTU,10.7.120.29,vls1.GTU.gwn,10.7.120.49
Video Server,MMB,10.5.224.29,vls1.MMB.gwn,10.5.224.49
Video Server,CAR-E,10.9.112.29,vls1.CRUV.gwn,10.9.112.49
Video Server,LCV,10.8.24.29,vls1.LCV.gwn,10.8.24.49
Video Server,CBO,172.28.15.11,vls1.CBO.gwn,172.28.15.23
Video Server,TXWO,10.7.112.28,vls2.TXWO.gwn,10.7.112.48
RAS,READ,10.10.12.15,ras2.READ.gwn,10.10.12.45
Application Server,MIAV,10.8.12.10,appserver.MIAV.gwn,10.8.12.40
Video Server,CAL,10.7.48.29,vls1.CAL.gwn,10.7.48.49
Video Server,FFL,10.6.0.29,vls1.FFL.gwn,10.6.0.49
Application Server,OLA,10.7.0.10,appserver.OLA.gwn,10.7.0.40
Application Server,EOV,10.8.64.10,appserver.EOV.gwn,10.8.64.40
RAS,TJU,10.5.48.14,ras1.TJU.gwn,10.5.48.44
RAS,CMG,10.9.136.14,ras1.CMG.gwn,10.9.136.44
Video Server,TAMV,10.8.32.26,vls4.TAMV.gwn,10.8.32.46
Video Server,SJC,10.7.40.29,vls1.SJC.gwn,10.7.40.49
RAS,CHC,10.5.144.14,ras1.CHC.gwn,10.5.144.44
Video Server,CIN,10.7.200.28,vls2.CIN.gwn,10.7.200.48
Video Server,SPM,10.7.20.24,vls6.SPM.gwn,10.7.20.54
RAS,CMC-E,10.7.56.15,ras2.CMC-E.gwn,10.7.56.45
Video Server,LLH,10.5.248.29,vls1.LLH.gwn,10.5.248.49
RAS,SPM,10.7.20.14,ras1.SPM.gwn,10.7.20.44
Application Server,HVS,10.5.124.10,appserver.HVS.gwn,10.5.124.40
Application Server,WBV,10.8.56.10,appserver.WBV.gwn,10.8.56.40
Video Server,PRI,10.5.247.29,vls1.PRI.gwn,10.5.247.49
Video Server,WILV,10.8.96.29,vls1.WILV.gwn,10.8.96.49
Video Server,CHC,10.5.144.29,vls1.CHC.gwn,10.5.144.49
Video Server,BAY-E,10.9.40.29,vls1.MPL.gwn,10.9.40.49
Video Server,CLA,10.108.0.29,vls1.CLA.gwn,10.108.0.49
Application Server,WJM,10.5.250.10,appserver.WJM.gwn,10.5.250.40
Video Server,KCH,10.5.32.29,vls1.KCH.gwn,10.5.32.49
Video Server,CMC-E,10.7.58.29,vls1.CFR.gwn,10.7.58.49
Video Server,SELZ-E,10.9.170.29,vls1.SEFT.gwn,10.9.170.49
Video Server,EMO,10.7.168.29,vls1.EMO.gwn,10.7.168.49
Video Server,CAR-E,10.9.140.29,vls1.CRLI.gwn,10.9.140.49
Video Server,CAC,10.5.52.25,vls5.CAC.gwn,10.5.52.55
Video Server,CIN,10.7.200.27,vls3.CIN.gwn,10.7.200.47
Video Server,SJV,10.8.20.28,vls2.SJV.gwn,10.8.20.48
RAS,READ,10.10.12.14,ras1.READ.gwn,10.10.12.44
RAS,TXWO,10.7.112.14,ras1.TXWO.gwn,10.7.112.44
Video Server,FHS-E,10.6.16.29,vls1.FEO.gwn,10.6.16.49
Video Server,TXWE,10.7.116.29,vls1.TXWE.gwn,10.7.116.49
Video Server,JMO,10.5.176.28,vls2.JMO.gwn,10.5.176.48
Video Server,CIN,10.7.59.29,vls1.CIL.gwn,10.7.59.49
Video Server,PNM,10.9.76.27,vls3.PNM.gwn,10.9.76.47
RAS,CIN,10.7.200.15,ras2.CIN.gwn,10.7.200.45
Video Server,GSM,10.220.0.28,vls2.GSM.gwn,10.220.0.48
RAS,SPC,10.9.132.14,ras1.SPC.gwn,10.9.132.44
Application Server,WDCV,10.8.88.10,appserver.WDCV.gwn,10.8.88.40
Video Server,BAY-E,10.9.52.28,vls2.MEC.gwn,10.9.52.48
Video Server,UMI,10.7.64.25,vls5.UMI.gwn,10.7.64.55
Application Server,ACD,10.5.228.10,appserver.ACD.gwn,10.5.228.40
Video Server,BWO,10.7.212.29,vls1.BWO.gwn,10.7.212.49
Video Server,PIJV,10.8.52.29,vls1.PIJV.gwn,10.8.52.49
Video Server,CAR-E,10.9.112.28,vls2.CRUV.gwn,10.9.112.48
Video Server,FTBV,10.7.100.29,vls1.FTBV.gwn,10.7.100.49
Application Server,NBB,10.5.249.10,appserver.NBB.gwn,10.5.249.40
Video Server,PNM,10.9.76.28,vls2.PNM.gwn,10.9.76.48
Video Server,SHH-E,10.9.120.29,vls1.SHEC.gwn,10.9.120.49
Video Server,SJV,10.8.20.29,vls1.SJV.gwn,10.8.20.49
RAS,CNM,10.5.16.15,ras2.CNM.gwn,10.5.16.45
Video Server,EXSJ,10.9.100.29,vls1.EXSJ.gwn,10.9.100.49
Video Server,KPNC-E,10.183.160.133,vls2.KOAK.gwn,10.183.160.197
Video Server,FWC,10.5.56.29,vls1.FWC.gwn,10.5.56.49
RAS,CENH,10.9.223.15,ras2.CENH.gwn,10.9.223.45
Video Server,HFB,10.5.112.28,vls2.HFB.gwn,10.5.112.48
Video Server,PNM,10.9.76.29,vls1.PNM.gwn,10.9.76.49
Video Server,CAL,10.7.48.27,vls3.CAL.gwn,10.7.48.47
RAS,RSE,10.5.28.15,ras2.RSE.gwn,10.5.28.45
Video Server,TAMV,10.8.32.25,vls5.TAMV.gwn,10.8.32.55
Test Application Server,CIN,10.7.200.20,apptest.CIN.gwn,10.7.200.41
Video Server,SMA,10.5.104.29,vls1.SMA.gwn,10.5.104.49
Test Application Server,CNM,10.5.16.20,apptest.CNM.gwn,10.5.16.41
Application Server,GTU,10.7.120.10,appserver.GTU.gwn,10.7.120.40
Video Server,CARO,10.9.88.29,vls1.CARO.gwn,10.9.88.49
Video Server,CAR-E,10.9.12.29,vls1.CRKM.gwn,10.9.12.49
Video Server,BAY-E,10.9.48.29,vls1.MED.gwn,10.9.48.29
Video Server,COC,10.5.120.29,vls1.COC.gwn,10.5.120.49
Video Server,WPBV,10.8.16.28,vls2.WPBV.gwn,10.8.16.48
Video Server,CAC,10.5.52.23,vls7.CAC.gwn,10.5.52.53
Video Server,BAY-E,10.9.208.28,vls2.BWH.gwn,10.9.208.48
Application Server,NWO,10.7.24.10,appserver.NWO.gwn,10.7.24.40
Video Server,LLE,10.5.232.29,vls1.LLE.gwn,10.5.232.49
Video Server,CMC-E,10.7.164.26,vls4.CFE.gwn,10.7.164.46
Application Server,SEA,10.7.192.10,appserver.SEA.gwn,10.7.192.40
Application Server,FWS,10.6.24.10,appserver.FWS.gwn,10.6.24.40
Application Server,DUP,10.5.12.10,appserver.DUP.gwn,10.5.12.40
Application Server,VAP,10.131.26.10,appserver.VAP.gwn,10.131.26.40
Video Server,WJM,10.5.250.29,vls1.WJM.gwn,10.5.250.49
Video Server,SMMC,10.9.230.29,vls1.SMMC.gwn,10.9.230.49
Application Server,GSM,10.220.0.10,appserver.GSM.gwn,10.220.0.40
Video Server,CME,10.242.200.29,vls1.CME.gwn,10.242.200.79
Video Server,SELZ-E,10.9.164.29,vls1.SELE.gwn,10.9.164.49
Video Server,SFM,10.118.25.29,vls1.SFM.gwn,10.118.25.9
RAS,FHS-E,10.6.12.15,ras2.FHS-E.gwn,10.6.12.45
Application Server,FFL,10.6.0.10,appserver.FFL.gwn,10.6.0.40
Video Server,BAY-E,10.9.64.28,vls2.BJS.gwn,10.9.64.48
Video Server,SFM,10.118.25.28,vls2.SFM.gwn,10.118.25.8
Video Server,CTXV,10.8.140.29,vls1.CTXV.gwn,10.8.140.49
Video Server,CSP,10.7.140.29,vls1.CSP.gwn,10.7.140.49
Video Server,VAL,10.9.108.29,vls1.VAL.gwn,10.9.108.49
Video Server,HOA,10.9.232.28,vls2.HOA.gwn,10.9.232.28
RAS,MOF,10.9.96.15,ras2.MOF.gwn,10.9.96.45
Video Server,TJU,10.5.48.28,vls2.TJU.gwn,10.5.48.48
RAS,PSHC,10.7.220.14,ras1.PSHC.gwn,10.7.220.44
Video Server,SMM,10.5.238.28,vls2.SMM.gwn,10.5.238.48
Video Server,KPNC-E,10.241.38.10,vls1.KRED.gwn,10.241.38.20
Video Server,CAL,10.7.48.28,vls2.CAL.gwn,10.7.48.48
Video Server,GLM,10.7.176.28,vls2.GLM.gwn,10.7.176.48
Video Server,CAR-E,10.9.8.29,vls1.CRPI.gwn,10.9.8.49
Video Server,SEA,10.7.192.29,vls1.SEA.gwn,10.7.192.49
Application Server,CAR,10.7.44.10,appserver.CAR.gwn,10.7.44.40
Video Server,CLA,10.108.0.27,vls3.CLA.gwn,10.108.0.47
RAS,CBO,172.28.15.7,ras1.CBO.gwn,172.28.15.20
Video Server,FHS-E,10.6.4.28,vls2.FOR.gwn,10.6.4.48
Application Server,HAS,10.5.80.10,appserver.HAS.gwn,10.5.80.40
Video Server,CAC,10.5.52.27,vls3.CAC.gwn,10.5.52.47
RAS,TJU,10.5.48.15,ras2.TJU.gwn,10.5.48.45
Video Server,CME,10.242.200.28,vls2.CME.gwn,10.242.200.78
Application Server,SMM,10.5.238.10,appserver.SMM.gwn,10.5.238.40
Application Server,COC,10.5.120.10,appserver.COC.gwn,10.5.120.40
Test Application Server,KPNCTEST,172.20.58.148,ras1.KPNCTEST.gwn,172.20.82.31
